child_entity_id,parent_entity_id,relationship_type,ownership_percentage,effective_from,effective_to,source_system
ENT000340,ENT001134,Subsidiary,2.02,2017-08-25,2025-09-05,ProviderA
ENT002300,ENT003503,Parent,83.4,2016-01-14,2025-01-20,ProviderA
ENT000926,ENT003529,Affiliate,51.31,2023-04-16,2025-04-04,Internal Master
ENT004104,ENT002306,Subsidiary,45.73,2011-08-02,2027-10-29,ProviderB
ENT_UNKNOWN_1,ENT003198,Ultimate Parent,74.02,2010-03-11,2027-06-23,Internal Master
ENT000231,ENT001640,Subsidiary,89.43,2020-11-01,2026-11-05,ProviderA
ENT003587,ENT004631,Parent,60.19,2016-06-13,2025-07-28,ProviderB
ENT003520,ENT000510,Subsidiary,67.72,2011-09-30,2026-11-08,ProviderA
ENT004948,ENT000564,Parent,9.81,2019-02-16,2027-05-08,ProviderA
ENT000088,ENT003205,Affiliate,,2015-06-12,2026-12-28,Internal Master
ENT_UNKNOWN_28,ENT000294,Unknown,48.92,2021-07-29,2028-11-02,ProviderB
ENT002686,ENT002258,Ultimate Parent,57.65,2023-10-23,2026-11-01,Internal Master
ENT003968,ENT004778,Ultimate Parent,88.45,2013-10-30,2025-02-22,Internal Master
ENT001437,ENT000003,Parent,78.46,2017-06-28,2027-03-26,ProviderA
ENT003916,ENT003916,Ultimate Parent,93.04,2023-08-09,2025-03-21,ProviderA
ENT003937,ENT000593,Affiliate,34.49,2022-11-07,2024-11-05,Internal Master
ENT002083,ENT003166,Subsidiary,31.88,2018-01-25,2024-04-10,ProviderA
ENT000781,ENT001392,Affiliate,82.14,2014-12-06,2025-08-29,Internal Master
ENT001505,ENT000603,Unknown,42.15,2022-09-22,2028-09-03,Internal Master
ENT004293,ENT002209,Subsidiary,95.63,2011-04-12,2025-09-02,Internal Master
ENT002969,ENT003660,Affiliate,26.86,2012-06-22,2025-10-11,ProviderA
ENT003827,ENT000653,Parent,71.11,2020-10-25,2025-04-24,ProviderB
ENT003822,ENT001309,Subsidiary,68.76,2021-03-25,2028-06-03,Internal Master
ENT004928,ENT002128,Unknown,-12.32,2017-11-11,2024-10-22,ProviderA
ENT004616,ENT000921,Unknown,63.8,2011-01-19,2024-07-10,ProviderB
ENT002762,ENT001927,Unknown,95.17,2015-07-13,2028-12-16,ProviderB
ENT003395,ENT003607,Unknown,66.56,2014-04-16,2025-01-02,ProviderB
ENT001114,ENT003998,Affiliate,70.56,2017-03-24,2025-04-13,ProviderB
ENT002891,ENT000703,Unknown,70.38,2012-05-12,2026-07-26,ProviderB
ENT003752,ENT004096,Parent,59.13,2010-06-09,2024-10-02,ProviderA
ENT004094,ENT003017,Subsidiary,67.25,2020-01-29,2028-01-24,Internal Master
ENT002706,ENT002403,Subsidiary,37.5,2015-09-08,2027-10-21,ProviderB
ENT003773,ENT004357,Parent,81.06,2017-05-02,2025-03-01,Internal Master
ENT000110,ENT002645,Parent,64.65,2019-08-25,2026-01-07,ProviderB
ENT000832,ENT002111,Parent,45.58,2015-02-15,2026-03-12,Internal Master
ENT000914,ENT000797,Unknown,40.66,2021-11-24,2028-09-21,ProviderB
ENT004086,ENT001465,Unknown,57.44,2015-12-16,2024-12-18,Internal Master
ENT001211,ENT001016,Unknown,61.9,2020-05-26,2024-02-13,Internal Master
ENT001112,ENT003391,Affiliate,26.68,2022-08-21,2028-08-21,Internal Master
ENT003492,ENT003007,Affiliate,45.01,2010-01-14,2025-11-10,Internal Master
ENT001426,ENT_UNKNOWN_15,Unknown,137.33,2019-10-09,2026-05-15,Internal Master
ENT004511,ENT003230,Subsidiary,78.44,2010-10-05,2025-08-11,ProviderA
ENT002508,ENT002779,Ultimate Parent,47.11,2019-12-17,2024-04-14,ProviderB
ENT000844,ENT002285,Affiliate,43.17,2013-11-09,2025-12-21,ProviderA
ENT003360,ENT000442,Unknown,34.9,2014-01-15,2027-06-06,Internal Master
ENT002279,ENT000691,Affiliate,52.56,2022-09-16,2024-08-25,Internal Master
ENT003980,ENT003639,Ultimate Parent,64.63,2012-02-27,2024-07-04,ProviderA
ENT003188,ENT002167,Affiliate,76.36,2016-01-11,2026-09-16,ProviderA
ENT004340,ENT004302,Ultimate Parent,106.87,2023-03-09,2028-09-08,ProviderA
ENT004243,ENT003777,Parent,81.51,2017-09-15,2027-09-17,ProviderA
ENT001738,ENT003251,Ultimate Parent,3.23,2022-05-07,2027-01-05,ProviderA
ENT004426,ENT003821,Parent,150.0,2021-02-22,2028-11-18,Internal Master
ENT004117,ENT002444,Subsidiary,125.0,2011-09-03,2028-01-02,ProviderA
ENT002366,ENT001229,Parent,45.04,2020-08-09,2025-04-03,Internal Master
ENT003083,ENT000869,Affiliate,67.62,2018-02-18,2028-05-13,ProviderA
ENT000872,ENT002489,Affiliate,63.99,2020-05-21,2028-12-20,Internal Master
ENT004434,ENT002638,Unknown,1.62,2017-12-19,2026-01-03,ProviderA
ENT000988,ENT000899,Parent,66.93,2014-12-28,2025-10-19,ProviderA
ENT001703,ENT003393,Subsidiary,0.19,2011-11-27,2025-03-08,ProviderA
ENT003238,ENT000648,Ultimate Parent,63.19,2013-09-24,2026-01-04,Internal Master
ENT000785,ENT004918,Parent,79.01,2013-03-21,2027-11-29,Internal Master
ENT002544,ENT001945,Affiliate,68.31,2013-10-14,2028-06-19,ProviderB
ENT003788,ENT000597,Ultimate Parent,87.25,2022-04-09,2027-01-27,ProviderA
ENT000310,ENT003656,Ultimate Parent,39.99,2010-10-12,2024-12-26,Internal Master
ENT000619,ENT002585,Affiliate,45.92,2016-11-02,2027-05-13,Internal Master
ENT004810,ENT004810,Parent,46.15,2021-02-03,2025-04-11,ProviderA
ENT004465,ENT000258,Unknown,57.51,2020-04-01,2028-07-17,Internal Master
ENT003334,ENT001550,Parent,16.74,2016-09-30,2026-06-07,Internal Master
ENT000177,ENT000177,Parent,77.76,2013-03-24,2027-09-23,ProviderA
ENT004101,ENT004455,Unknown,103.46,2010-06-16,2024-03-25,ProviderA
ENT004579,ENT001412,Parent,64.73,2023-03-19,2027-07-29,ProviderB
ENT001890,ENT004599,Ultimate Parent,36.62,2018-09-11,2025-10-01,ProviderB
ENT002455,ENT003227,Affiliate,54.45,2018-07-25,2028-11-12,ProviderA
ENT002432,ENT002731,Unknown,29.33,2010-12-19,2026-06-27,ProviderB
ENT001338,ENT002945,Affiliate,60.72,2017-08-08,2027-10-30,ProviderB
ENT001746,ENT002974,Unknown,24.57,2014-08-12,2026-12-07,Internal Master
ENT001264,ENT003921,Parent,54.33,2013-11-15,2025-08-05,ProviderA
ENT000970,ENT002526,Affiliate,52.85,2011-05-03,2027-03-13,ProviderA
ENT000413,ENT000929,Ultimate Parent,-9.89,2013-04-26,2024-06-27,ProviderA
ENT004630,ENT002781,Parent,107.57,2023-04-14,2028-09-09,ProviderB
ENT004852,ENT001579,Affiliate,150.0,2015-10-23,2027-12-18,Internal Master
ENT004389,ENT002066,Parent,53.15,2020-08-27,2028-02-20,ProviderA
ENT003015,ENT001626,Subsidiary,100.23,2016-09-12,2027-01-16,ProviderB
ENT002841,ENT001098,Parent,70.94,2020-08-14,2025-11-22,ProviderB
ENT002912,ENT001406,Unknown,79.02,2015-07-03,2027-03-23,ProviderA
ENT001725,ENT003774,Parent,81.16,2017-05-25,2027-10-19,ProviderA
ENT001602,ENT004465,Parent,16.47,2017-10-01,2027-01-21,ProviderA
ENT001474,ENT002604,Unknown,75.61,2013-07-24,2024-08-17,Internal Master
ENT004075,ENT002495,Unknown,61.94,2013-03-28,2026-08-03,ProviderB
ENT000662,ENT_UNKNOWN_16,Parent,90.9,2021-08-07,2027-09-09,Internal Master
ENT001058,ENT001669,Ultimate Parent,103.05,2018-01-23,2025-04-23,Internal Master
ENT003549,ENT002536,Ultimate Parent,46.24,2019-08-18,2025-01-18,Internal Master
ENT003137,ENT002260,Subsidiary,9.1,2022-10-23,2024-02-07,ProviderB
ENT000226,ENT000388,Subsidiary,50.59,2014-08-03,2027-11-17,ProviderA
ENT003912,ENT004467,Parent,8.31,2020-11-26,2026-04-17,ProviderB
ENT003057,ENT002532,Ultimate Parent,83.21,2018-04-26,2026-06-04,ProviderB
ENT003406,ENT001428,Ultimate Parent,52.7,2022-02-20,2027-07-23,ProviderA
ENT003797,ENT004224,Unknown,97.67,2018-09-16,2024-07-23,Internal Master
ENT002680,ENT003127,Subsidiary,49.87,2017-05-17,2028-11-03,Internal Master
ENT000028,ENT004894,Parent,113.12,2017-01-07,2028-08-05,ProviderA
ENT001582,ENT003280,Unknown,1.76,2012-07-30,2025-10-11,ProviderB
ENT003159,ENT002017,Affiliate,71.87,2013-04-27,2027-05-07,ProviderA
ENT000235,ENT003055,Affiliate,42.05,2015-01-18,2025-01-12,Internal Master
ENT003178,ENT003846,Ultimate Parent,55.56,2017-04-08,2024-10-21,Internal Master
ENT000692,ENT000174,Affiliate,112.04,2020-09-21,2026-03-11,ProviderB
ENT000441,ENT004853,Ultimate Parent,41.89,2021-08-20,2026-05-12,Internal Master
ENT002638,ENT_UNKNOWN_50,Subsidiary,64.22,2019-06-03,2025-04-16,Internal Master
ENT003659,ENT004547,Ultimate Parent,61.96,2022-04-16,2026-09-10,ProviderA
ENT001363,ENT004038,Subsidiary,91.2,2012-04-18,2025-11-30,ProviderB
ENT001058,ENT004480,Subsidiary,46.59,2014-02-13,2024-12-28,ProviderA
ENT001373,ENT002694,Unknown,45.12,2015-03-22,2028-10-20,ProviderB
ENT002249,ENT003536,Parent,25.05,2014-05-15,2024-06-04,ProviderB
ENT003463,ENT002870,Subsidiary,75.41,2018-09-26,2026-06-11,ProviderB
ENT001347,ENT004036,Ultimate Parent,78.43,2020-09-06,2027-05-12,ProviderB
ENT000443,ENT002197,Unknown,-11.27,2022-07-22,2026-09-06,ProviderB
ENT000544,ENT002956,Affiliate,44.57,2018-08-28,2025-05-31,Internal Master
ENT001205,ENT003673,Affiliate,71.93,2020-06-20,2028-06-22,ProviderA
ENT003977,ENT003174,Affiliate,51.34,2012-10-11,2024-05-30,ProviderA
ENT004113,ENT001511,Unknown,55.5,2017-10-01,2025-12-01,ProviderA
ENT003402,ENT003043,Ultimate Parent,37.03,2016-07-05,2026-12-11,Internal Master
ENT001464,ENT003215,Parent,88.45,2010-12-25,2024-10-13,ProviderA
ENT004015,ENT004093,Affiliate,147.11,2021-11-03,2025-04-19,ProviderA
ENT003771,ENT000260,Unknown,41.12,2012-08-08,2026-01-23,Internal Master
ENT002275,ENT004585,Affiliate,42.39,2014-04-12,2024-08-11,Internal Master
ENT003041,ENT002102,Ultimate Parent,54.16,2023-09-03,2027-11-17,Internal Master
ENT001395,ENT001018,Affiliate,90.65,2021-05-19,2024-10-22,Internal Master
ENT004627,ENT000528,Unknown,102.58,2022-09-19,2024-03-02,Internal Master
ENT003483,ENT004897,Subsidiary,70.95,2023-12-01,2028-10-29,ProviderA
ENT004661,ENT003645,Parent,66.84,2011-10-23,2027-05-12,Internal Master
ENT001808,ENT004576,Ultimate Parent,92.89,2018-03-06,2028-10-31,ProviderB
ENT001014,ENT002233,Ultimate Parent,42.07,2016-06-30,2027-03-17,Internal Master
ENT003470,ENT001112,Ultimate Parent,81.3,2018-06-19,2027-11-15,ProviderB
ENT002520,ENT000763,Unknown,34.52,2010-12-27,2028-08-03,Internal Master
ENT000683,ENT003186,Unknown,56.38,2016-11-14,2026-01-14,ProviderB
ENT002119,ENT002540,Parent,96.49,2014-10-03,2025-12-06,ProviderB
ENT001766,ENT001383,Parent,42.12,2016-07-12,2025-04-11,Internal Master
ENT003606,ENT001961,Unknown,49.23,2014-02-28,2028-10-23,Internal Master
ENT004258,ENT000208,Unknown,25.9,2011-07-29,2028-10-22,Internal Master
ENT000105,ENT004131,Unknown,12.92,2020-05-19,2027-03-21,ProviderA
ENT001323,ENT004419,Parent,125.0,2021-08-26,2027-04-11,Internal Master
ENT002329,ENT000512,Parent,40.81,2012-10-30,2026-05-08,ProviderA
ENT001031,ENT002103,Unknown,76.76,2017-04-14,2026-05-17,ProviderB
ENT001394,ENT002408,Affiliate,52.93,2016-10-13,2027-12-10,ProviderA
ENT001953,ENT003231,Affiliate,43.46,2011-09-15,2025-03-11,ProviderA
ENT000896,ENT004409,Ultimate Parent,96.4,2022-12-04,2025-12-28,ProviderA
ENT002001,ENT002991,Parent,36.66,2014-12-14,2028-01-26,ProviderB
ENT001736,ENT002134,Parent,76.98,2015-08-12,2028-06-11,ProviderA
ENT000646,ENT004237,Parent,22.01,2012-12-19,2026-10-15,ProviderB
ENT003530,ENT003843,Unknown,57.23,2015-04-23,2025-07-16,ProviderA
ENT002334,ENT000164,Unknown,65.58,2010-04-17,2027-09-06,ProviderA
ENT002593,ENT004645,Subsidiary,94.14,2018-03-13,2025-08-11,Internal Master
ENT001279,ENT000756,Parent,59.4,2012-07-25,2024-07-09,ProviderB
ENT002144,ENT000926,Affiliate,64.33,2022-08-18,2028-03-28,ProviderB
ENT_UNKNOWN_6,ENT000754,Parent,100.17,2019-04-23,2026-11-03,ProviderA
ENT002456,ENT002870,Unknown,50.1,2017-08-21,2026-04-18,Internal Master
ENT002230,ENT002540,Ultimate Parent,92.89,2023-07-26,2025-12-21,ProviderA
ENT004033,ENT004489,Subsidiary,104.59,2014-10-13,2024-08-09,ProviderA
ENT001301,ENT002703,Ultimate Parent,80.41,2011-06-06,2027-12-16,ProviderA
ENT001781,ENT001576,Affiliate,71.73,2022-04-04,2027-10-21,ProviderA
ENT000257,ENT002661,Subsidiary,67.38,2011-12-20,2026-04-29,ProviderA
ENT001423,ENT000402,Ultimate Parent,86.54,2010-03-30,2027-06-20,ProviderA
ENT004087,ENT003886,Affiliate,41.13,2023-08-04,2026-08-15,ProviderA
ENT000413,ENT002573,Parent,39.83,2013-10-12,2027-01-28,Internal Master
ENT002253,ENT004275,Ultimate Parent,30.36,2015-12-21,2024-12-24,Internal Master
ENT000136,ENT000665,Affiliate,42.19,2012-03-14,2027-10-30,ProviderA
ENT001180,ENT002774,Unknown,49.68,2023-10-25,2025-09-01,ProviderA
ENT001716,ENT001400,Ultimate Parent,111.0,2015-01-22,2024-12-27,ProviderB
ENT001163,ENT004284,Subsidiary,76.92,2016-11-28,2027-01-22,ProviderA
ENT004531,ENT004837,Unknown,75.05,2023-07-07,2024-05-30,ProviderB
ENT003632,ENT004391,Subsidiary,44.26,2021-08-02,2026-11-05,ProviderA
ENT000089,ENT003196,Subsidiary,90.54,2019-02-16,2025-11-28,ProviderA
ENT002856,ENT000180,Parent,77.27,2014-01-07,2025-04-28,ProviderA
ENT000698,ENT004588,Ultimate Parent,66.16,2012-12-17,2024-12-24,Internal Master
ENT002163,ENT003477,Affiliate,49.76,2017-12-24,2025-11-20,ProviderB
ENT000682,ENT003066,Affiliate,33.54,2022-01-24,2026-11-01,ProviderA
ENT000639,ENT003905,Unknown,69.38,2016-11-20,2024-12-31,Internal Master
ENT002332,ENT002850,Parent,60.83,2014-12-06,2024-10-13,Internal Master
ENT000484,ENT004305,Ultimate Parent,36.48,2020-08-10,2028-12-30,Internal Master
ENT004300,ENT002533,Parent,62.69,2014-06-30,2028-01-23,Internal Master
ENT001851,ENT001372,Subsidiary,57.7,2010-12-02,2028-06-11,ProviderB
ENT000888,ENT004554,Affiliate,88.04,2020-02-12,2024-10-07,ProviderB
ENT000517,ENT003114,Affiliate,37.82,2011-12-18,2024-02-15,ProviderB
ENT002261,ENT004101,Parent,46.93,2011-01-19,2024-05-19,ProviderA
ENT000037,ENT002655,Ultimate Parent,43.01,2018-04-24,2025-03-02,Internal Master
ENT002417,ENT004892,Subsidiary,74.88,2018-06-05,2027-03-17,ProviderA
ENT004006,ENT002691,Parent,75.78,2016-08-01,2025-09-30,Internal Master
ENT004176,ENT000082,Ultimate Parent,26.08,2013-12-22,2025-05-25,ProviderB
ENT000854,ENT_UNKNOWN_10,Unknown,57.2,2018-02-07,2027-06-30,ProviderA
ENT004953,ENT001837,Unknown,51.94,2020-08-07,2026-08-28,Internal Master
ENT003952,ENT003900,Subsidiary,71.03,2011-01-26,2026-10-04,ProviderA
ENT001775,ENT000863,Unknown,33.03,2014-12-26,2025-05-16,ProviderB
ENT001597,ENT004882,Unknown,73.52,2021-12-14,2024-07-10,ProviderA
ENT001206,ENT004519,Unknown,73.05,2017-11-08,2027-06-15,ProviderB
ENT002391,ENT001841,Affiliate,,2020-01-18,2027-02-08,Internal Master
ENT004851,ENT002605,Affiliate,109.83,2022-11-03,2028-11-14,ProviderB
ENT004028,ENT000834,Subsidiary,39.33,2017-02-13,2027-10-15,Internal Master
ENT002505,ENT001811,Unknown,59.98,2018-10-03,2026-10-11,ProviderA
ENT003047,ENT001467,Affiliate,81.87,2015-05-08,2028-09-03,Internal Master
ENT004541,ENT001923,Parent,-25.0,2022-12-29,2028-01-13,Internal Master
ENT002339,ENT004630,Parent,29.47,2023-09-18,2025-04-16,ProviderA
ENT002886,ENT003423,Unknown,65.3,2020-02-15,2026-06-02,ProviderB
ENT001423,ENT003997,Parent,29.51,2015-01-07,2025-07-26,ProviderA
ENT004656,ENT002494,Subsidiary,55.92,2022-11-26,2027-03-25,ProviderB
ENT000291,ENT004261,Affiliate,21.51,2019-01-05,2026-05-20,ProviderB
ENT003948,ENT004614,Parent,114.95,2010-10-28,2024-02-27,ProviderB
ENT003729,ENT000919,Subsidiary,108.4,2014-09-09,2024-02-28,Internal Master
ENT002407,ENT003913,Ultimate Parent,72.53,2012-04-08,2027-07-18,ProviderA
ENT004141,ENT002333,Affiliate,31.21,2022-06-29,2028-07-29,ProviderB
ENT002000,ENT004523,Ultimate Parent,43.03,2016-11-10,2024-04-06,ProviderA
ENT001378,ENT003443,Affiliate,139.11,2016-05-02,2026-04-14,ProviderA
ENT001674,ENT001932,Subsidiary,52.95,2018-09-29,2028-02-28,ProviderB
ENT001445,ENT004607,Parent,46.25,2020-05-13,2028-04-14,Internal Master
ENT002854,ENT004526,Ultimate Parent,97.56,2018-02-08,2027-09-28,ProviderA
ENT004165,ENT000741,Parent,14.62,2013-01-11,2027-07-31,ProviderB
ENT001426,ENT003966,Parent,2.97,2022-02-28,2025-05-16,Internal Master
ENT000071,ENT000218,Unknown,80.59,2022-04-28,2025-12-24,ProviderA
ENT001024,ENT002072,Unknown,18.2,2010-10-29,2025-09-28,ProviderA
ENT000202,ENT003073,Subsidiary,74.28,2021-07-04,2026-08-13,Internal Master
ENT004500,ENT002503,Unknown,92.36,2012-11-16,2024-02-21,ProviderB
ENT004255,ENT003323,Subsidiary,54.04,2020-01-04,2028-01-23,Internal Master
ENT000521,ENT002688,Unknown,106.88,2021-03-05,2028-11-02,ProviderA
ENT001920,ENT001519,Parent,42.58,2014-01-21,2027-11-15,ProviderB
ENT001706,ENT001750,Affiliate,23.96,2012-08-14,2025-07-11,ProviderA
ENT001888,ENT001528,Unknown,57.46,2022-03-09,2025-12-03,Internal Master
ENT001835,ENT004868,Parent,63.23,2014-11-01,2028-03-30,ProviderA
ENT001699,ENT000428,Affiliate,35.4,2021-06-28,2028-03-05,ProviderB
ENT002809,ENT003819,Unknown,94.17,2013-09-28,2027-05-12,ProviderB
ENT001420,ENT004286,Parent,22.73,2012-10-09,2026-07-30,ProviderB
ENT003502,ENT001146,Parent,70.3,2018-09-21,2024-02-25,ProviderA
ENT003452,ENT003097,Parent,112.58,2010-10-02,2025-08-12,Internal Master
ENT000167,ENT001598,Subsidiary,93.47,2012-01-09,2024-12-18,ProviderB
ENT000606,ENT004705,Subsidiary,100.73,2023-04-14,2027-08-11,ProviderA
ENT004080,ENT004887,Unknown,99.22,2012-07-05,2025-12-11,ProviderB
ENT004408,ENT003411,Ultimate Parent,76.83,2014-08-18,2025-06-10,ProviderA
ENT002152,ENT004893,Unknown,88.77,2023-03-02,2027-02-28,ProviderA
ENT_UNKNOWN_18,ENT001289,Subsidiary,65.33,2017-08-31,2028-06-26,Internal Master
ENT001000,ENT003772,Ultimate Parent,-20.91,2015-06-27,2028-02-04,Internal Master
ENT004059,ENT000746,Parent,67.09,2013-11-08,2026-03-27,Internal Master
ENT000610,ENT_UNKNOWN_31,Ultimate Parent,-8.95,2017-10-02,2027-07-28,Internal Master
ENT001097,ENT003077,Subsidiary,15.79,2010-08-13,2026-12-28,ProviderA
ENT001550,ENT000079,Parent,59.29,2017-01-23,2024-11-01,Internal Master
ENT003812,ENT003706,Unknown,91.06,2018-05-14,2027-10-21,Internal Master
ENT000090,ENT003572,Parent,22.45,2021-09-19,2027-03-23,Internal Master
ENT004263,ENT001915,Subsidiary,-3.69,2021-08-01,2026-06-07,Internal Master
ENT003166,ENT000679,Subsidiary,27.13,2015-10-31,2024-10-06,Internal Master
ENT000578,ENT003558,Parent,14.83,2023-07-07,2027-12-25,ProviderA
ENT002940,ENT002070,Ultimate Parent,65.59,2018-02-04,2028-11-14,ProviderA
ENT003091,ENT003229,Ultimate Parent,16.35,2011-08-10,2027-09-06,ProviderB
ENT001313,ENT001350,Unknown,68.74,2016-09-15,2024-02-07,Internal Master
ENT000692,ENT000116,Ultimate Parent,94.8,2020-11-16,2027-03-13,Internal Master
ENT003569,ENT001761,Parent,70.61,2016-10-20,2027-01-10,ProviderB
ENT003287,ENT_UNKNOWN_23,Unknown,61.76,2015-01-17,2027-12-01,ProviderA
ENT004712,ENT002292,Subsidiary,99.65,2010-10-14,2028-03-24,ProviderA
ENT000862,ENT004910,Affiliate,73.97,2011-10-24,2025-05-30,Internal Master
ENT004979,ENT002392,Ultimate Parent,78.28,2020-12-07,2026-05-20,ProviderB
ENT000551,ENT002044,Subsidiary,75.04,2014-07-08,2024-08-13,ProviderA
ENT000378,ENT002450,Ultimate Parent,-14.84,2019-09-19,2028-06-14,ProviderB
ENT001819,ENT001565,Unknown,40.43,2019-11-08,2026-09-12,ProviderB
ENT002041,ENT000314,Unknown,106.13,2020-07-04,2026-11-28,ProviderB
ENT001621,ENT003098,Ultimate Parent,34.42,2016-07-22,2024-10-19,ProviderB
ENT003893,ENT000708,Subsidiary,82.05,2016-04-13,2024-04-29,Internal Master
ENT003034,ENT000125,Affiliate,43.7,2014-06-02,2028-12-15,ProviderA
ENT002914,ENT004063,Ultimate Parent,63.38,2019-12-05,2027-03-01,ProviderB
ENT002648,ENT002480,Unknown,14.87,2013-11-20,2028-07-18,Internal Master
ENT004370,ENT001929,Parent,31.09,2015-05-23,2026-09-24,Internal Master
ENT004054,ENT002771,Ultimate Parent,61.33,2015-08-09,2025-11-20,ProviderB
ENT003492,ENT000840,Parent,67.24,2020-08-08,2026-04-11,ProviderB
ENT001598,ENT004283,Affiliate,23.61,2014-10-14,2027-02-26,ProviderB
ENT000271,ENT000623,Subsidiary,150.0,2023-12-31,2027-01-23,ProviderB
ENT000348,ENT004112,Subsidiary,81.22,2023-07-02,2025-07-28,ProviderB
ENT004299,ENT002638,Parent,80.2,2013-07-20,2027-02-28,ProviderB
ENT003635,ENT002985,Unknown,82.52,2014-06-23,2024-07-15,ProviderB
ENT000148,ENT003617,Subsidiary,105.0,2016-01-10,2025-01-08,ProviderB
ENT001552,ENT000727,Subsidiary,93.35,2015-06-21,2024-10-03,ProviderB
ENT002795,ENT001315,Affiliate,82.72,2018-10-01,2028-01-20,ProviderB
ENT002345,ENT001463,Affiliate,84.47,2020-08-13,2025-09-03,ProviderA
ENT000529,ENT003890,Unknown,62.47,2018-02-16,2025-05-30,ProviderB
ENT000683,ENT001695,Affiliate,63.82,2016-05-24,2025-07-06,ProviderA
ENT003879,ENT003066,Unknown,79.58,2014-02-26,2025-12-31,ProviderB
ENT000698,ENT000465,Ultimate Parent,88.96,2011-02-12,2025-11-16,ProviderA
ENT000802,ENT004067,Ultimate Parent,-25.0,2021-09-27,2027-04-23,Internal Master
ENT002082,ENT001732,Ultimate Parent,74.22,2020-06-12,2024-04-06,Internal Master
ENT004457,ENT002457,Affiliate,79.16,2019-01-28,2025-02-16,Internal Master
ENT004344,ENT000702,Ultimate Parent,97.05,2013-09-10,2027-03-27,ProviderA
ENT001770,ENT001439,Unknown,70.75,2019-09-27,2025-08-04,Internal Master
ENT000437,ENT001661,Ultimate Parent,43.86,2019-03-22,2025-09-05,ProviderB
ENT003943,ENT004438,Affiliate,58.54,2019-04-29,2026-04-14,ProviderB
ENT002423,ENT000667,Parent,62.36,2019-04-01,2028-08-04,ProviderA
ENT004681,ENT002415,Subsidiary,48.45,2019-04-01,2028-05-12,ProviderA
ENT000588,ENT002307,Unknown,-25.0,2012-04-01,2027-03-25,Internal Master
ENT000935,ENT002519,Subsidiary,91.84,2018-03-12,2027-04-09,ProviderA
ENT001610,ENT003408,Subsidiary,105.09,2015-09-20,2027-01-23,ProviderB
ENT004767,ENT004656,Affiliate,37.1,2016-05-02,2024-09-15,Internal Master
ENT004279,ENT003579,Ultimate Parent,-25.0,2018-04-21,2024-09-26,Internal Master
ENT002717,ENT000437,Subsidiary,19.2,2016-05-16,2024-09-21,Internal Master
ENT004282,ENT004705,Subsidiary,76.64,2022-08-12,2025-05-05,ProviderB
ENT001755,ENT004043,Unknown,76.56,2016-11-06,2025-08-06,ProviderA
ENT001298,ENT003915,Ultimate Parent,39.85,2014-06-06,2026-12-02,ProviderA
ENT004523,ENT004982,Subsidiary,96.1,2011-10-28,2028-03-29,ProviderB
ENT004468,ENT001113,Ultimate Parent,61.44,2019-03-25,2028-09-26,ProviderA
ENT003552,ENT000952,Subsidiary,64.24,2014-02-08,2028-07-28,Internal Master
ENT002973,ENT003197,Affiliate,32.36,2018-07-22,2027-01-11,Internal Master
ENT001952,ENT003515,Unknown,0.45,2017-12-05,2027-07-16,ProviderB
ENT002779,ENT004273,Unknown,30.66,2020-08-17,2027-04-04,Internal Master
ENT004811,ENT000494,Ultimate Parent,93.66,2021-04-17,2028-01-24,ProviderA
ENT004914,ENT001779,Parent,16.63,2011-02-01,2025-02-14,ProviderA
ENT000277,ENT004504,Ultimate Parent,45.01,2015-11-21,2026-08-16,Internal Master
ENT003175,ENT002670,Unknown,46.26,2023-06-29,2027-07-18,Internal Master
ENT000296,ENT004503,Parent,22.72,2011-09-22,2025-10-05,Internal Master
ENT002100,ENT000401,Affiliate,56.28,2012-07-29,2028-07-21,ProviderA
ENT001853,ENT003991,Affiliate,64.18,2022-11-05,2025-11-29,ProviderB
ENT002416,ENT003110,Unknown,63.45,2016-01-30,2028-01-02,ProviderA
ENT000272,ENT001878,Affiliate,88.81,2021-10-09,2026-01-27,ProviderA
ENT004936,ENT000769,Subsidiary,75.74,2014-12-17,2025-05-23,ProviderB
ENT001437,ENT000107,Subsidiary,120.04,2023-03-24,2028-04-29,ProviderA
ENT002293,ENT004185,Subsidiary,106.68,2016-01-30,2027-10-08,ProviderB
ENT001861,ENT003432,Parent,70.36,2013-06-26,2026-01-09,Internal Master
ENT001256,ENT002732,Affiliate,72.47,2017-11-14,2027-02-26,Internal Master
ENT004144,ENT002538,Subsidiary,60.18,2012-04-08,2027-12-02,ProviderA
ENT002465,ENT001605,Parent,81.09,2015-07-10,2025-11-06,Internal Master
ENT004280,ENT003481,Parent,52.3,2010-01-11,2024-09-15,ProviderA
ENT001082,ENT001858,Affiliate,68.03,2013-01-15,2025-02-16,ProviderA
ENT002703,ENT002815,Parent,91.82,2023-08-06,2025-06-25,ProviderA
ENT002711,ENT000388,Subsidiary,98.79,2014-01-08,2025-02-02,ProviderA
ENT004763,ENT004647,Parent,90.79,2013-12-31,2026-07-18,ProviderA
ENT004340,ENT000207,Unknown,54.72,2019-09-04,2025-11-28,Internal Master
ENT_UNKNOWN_19,ENT000116,Ultimate Parent,67.69,2017-01-29,2024-11-30,Internal Master
ENT000257,ENT000710,Ultimate Parent,27.47,2020-05-15,2028-04-11,ProviderB
ENT001356,ENT000720,Ultimate Parent,10.65,2020-11-05,2026-09-09,ProviderA
